Run, Time Taken (nS)
1,0 nS
2,0 nS
3,0 nS
4,998200 nS
5,0 nS
6,0 nS
7,0 nS
8,0 nS
9,996700 nS
10,0 nS
11,0 nS
12,997400 nS
13,0 nS
14,1000200 nS
15,0 nS
16,999100 nS
17,997300 nS
18,997300 nS
19,0 nS
20,996400 nS
21,995700 nS
22,0 nS
23,0 nS
24,997200 nS
25,0 nS
26,997300 nS
27,997700 nS
28,0 nS
29,0 nS
30,0 nS
31,997900 nS
32,998300 nS
33,998300 nS
34,0 nS
35,997800 nS
36,996900 nS
37,0 nS
38,997500 nS
39,868000 nS
40,0 nS
41,0 nS
42,0 nS
43,997000 nS
44,0 nS
45,0 nS
46,0 nS
47,997500 nS
48,997000 nS
49,998100 nS
50,0 nS
51,996900 nS
52,998400 nS
53,1098900 nS
54,0 nS
55,0 nS
56,997700 nS
57,997400 nS
58,994500 nS
59,998100 nS
60,0 nS
61,998100 nS
62,0 nS
63,0 nS
64,0 nS
65,997300 nS
66,1036200 nS
67,0 nS
68,998100 nS
69,0 nS
70,997000 nS
71,996900 nS
72,738100 nS
73,0 nS
74,0 nS
75,997000 nS
76,997300 nS
77,0 nS
78,0 nS
79,996800 nS
80,0 nS
81,0 nS
82,0 nS
83,999200 nS
84,998900 nS
85,1111800 nS
86,0 nS
87,998600 nS
88,0 nS
89,0 nS
90,998700 nS
91,997200 nS
92,996900 nS
93,997300 nS
94,0 nS
95,997200 nS
96,0 nS
97,996800 nS
98,998800 nS
99,0 nS
100,0 nS
