Run, Time Taken (nS)
1,136405900 nS
2,170565100 nS
3,135038400 nS
4,139626300 nS
5,135936600 nS
6,133655700 nS
7,139696000 nS
8,134927500 nS
9,135636800 nS
10,134491100 nS
11,133555200 nS
12,133266800 nS
13,147461400 nS
14,144214700 nS
15,140205600 nS
16,151256200 nS
17,159571100 nS
18,160720700 nS
19,181106000 nS
20,157244000 nS
21,144171600 nS
22,142704300 nS
23,135613400 nS
24,138657500 nS
25,146374100 nS
26,136464100 nS
27,135528900 nS
28,179059100 nS
29,159572300 nS
30,149599800 nS
31,135982100 nS
32,131504700 nS
33,133642400 nS
34,137650900 nS
35,136907600 nS
36,136482700 nS
37,144123500 nS
38,152907200 nS
39,133743300 nS
40,130727300 nS
41,129652300 nS
42,144612100 nS
43,140698000 nS
44,132662800 nS
45,134639900 nS
46,134639500 nS
47,132279900 nS
48,125663600 nS
49,130651400 nS
50,131648500 nS
51,143691500 nS
52,156641100 nS
53,209460600 nS
54,160570800 nS
55,150597800 nS
56,143616200 nS
57,134639600 nS
58,137631900 nS
59,135637200 nS
60,131647700 nS
61,139625900 nS
62,137631300 nS
63,134640000 nS
64,134639400 nS
65,133642000 nS
66,133642800 nS
67,137632000 nS
68,130650900 nS
69,138937600 nS
70,132892100 nS
71,134649000 nS
72,147604200 nS
73,137630800 nS
74,131620400 nS
75,127657400 nS
76,132645300 nS
77,133643500 nS
78,132624300 nS
79,134156000 nS
80,132644700 nS
81,132646200 nS
82,124666400 nS
83,130624100 nS
84,132644800 nS
85,134639100 nS
86,138629500 nS
87,136141600 nS
88,137631500 nS
89,140623900 nS
90,145610200 nS
91,139626400 nS
92,131648200 nS
93,132625200 nS
94,132644600 nS
95,129652200 nS
96,139625400 nS
97,139609400 nS
98,132647800 nS
99,134643200 nS
100,130648400 nS
