Run, Time Taken (nS)
1,1706799200 nS
2,2109663400 nS
3,2076603300 nS
4,1653142900 nS
5,1685628400 nS
6,1449118500 nS
7,1491014000 nS
8,1466097400 nS
9,1598721900 nS
10,1510939500 nS
11,1509992800 nS
12,1554533800 nS
13,1495744700 nS
14,1695944000 nS
15,1659073400 nS
16,1483032200 nS
17,1444656200 nS
18,1472638100 nS
19,1442128000 nS
20,1515958000 nS
21,1406232200 nS
22,1586816700 nS
23,1481050600 nS
24,1501997400 nS
25,1425716700 nS
26,1527415400 nS
27,1470044000 nS
28,1508887100 nS
29,1511973600 nS
30,1580300000 nS
31,1399997400 nS
32,1472062200 nS
33,1393290400 nS
34,1415472000 nS
35,1385884100 nS
36,1421195700 nS
37,1315049200 nS
38,1397805300 nS
39,1348576300 nS
40,1458073900 nS
41,1363868900 nS
42,1426643800 nS
43,1358260500 nS
44,1427374600 nS
45,1317482900 nS
46,1391776600 nS
47,1345939400 nS
48,1421272200 nS
49,1329473200 nS
50,1413717600 nS
51,1350382200 nS
52,1396312800 nS
53,1316015700 nS
54,1393138900 nS
55,1352373500 nS
56,1384881000 nS
57,1387307400 nS
58,1420224800 nS
59,1326541100 nS
60,1360841400 nS
61,1393684700 nS
62,1389263000 nS
63,1347415000 nS
64,1422167800 nS
65,1441652700 nS
66,1403189000 nS
67,1349403400 nS
68,1411771800 nS
69,1387287900 nS
70,1401272600 nS
71,1353952000 nS
72,1381339700 nS
73,1354632100 nS
74,1413265000 nS
75,1332433300 nS
76,1349407400 nS
77,1381131600 nS
78,1415751300 nS
79,1492008200 nS
80,1504619400 nS
81,1530662600 nS
82,1459560100 nS
83,1419662400 nS
84,1786194300 nS
85,1565126700 nS
86,1491668200 nS
87,1692112700 nS
88,1647876100 nS
89,1406114800 nS
90,1478115400 nS
91,1440100800 nS
92,1437230600 nS
93,1393421200 nS
94,1472295200 nS
95,1351412000 nS
96,1465752000 nS
97,1341452400 nS
98,1424746500 nS
99,1332398800 nS
100,1384295600 nS
