Run, Time Taken (nS)
1,0 nS
2,996400 nS
3,0 nS
4,995900 nS
5,996000 nS
6,0 nS
7,999700 nS
8,996300 nS
9,997600 nS
10,998800 nS
11,997200 nS
12,0 nS
13,0 nS
14,0 nS
15,997900 nS
16,0 nS
17,997300 nS
18,997200 nS
19,996700 nS
20,997800 nS
21,0 nS
22,997300 nS
23,997600 nS
24,995600 nS
25,996400 nS
26,997900 nS
27,0 nS
28,997400 nS
29,997000 nS
30,996900 nS
31,997100 nS
32,997300 nS
33,0 nS
34,0 nS
35,0 nS
36,999100 nS
37,0 nS
38,0 nS
39,0 nS
40,0 nS
41,0 nS
42,0 nS
43,996900 nS
44,0 nS
45,996800 nS
46,997200 nS
47,0 nS
48,996800 nS
49,998400 nS
50,0 nS
51,0 nS
52,0 nS
53,0 nS
54,0 nS
55,995600 nS
56,997100 nS
57,997000 nS
58,0 nS
59,998000 nS
60,997300 nS
61,998100 nS
62,997100 nS
63,996800 nS
64,997400 nS
65,997200 nS
66,998200 nS
67,996900 nS
68,0 nS
69,996900 nS
70,996400 nS
71,0 nS
72,0 nS
73,997300 nS
74,996700 nS
75,0 nS
76,0 nS
77,997800 nS
78,997100 nS
79,0 nS
80,0 nS
81,0 nS
82,997300 nS
83,993100 nS
84,996700 nS
85,996700 nS
86,997100 nS
87,995800 nS
88,997500 nS
89,0 nS
90,999000 nS
91,2991900 nS
92,0 nS
93,997000 nS
94,996200 nS
95,996000 nS
96,995900 nS
97,996600 nS
98,996000 nS
99,0 nS
100,997300 nS
