Run, Time Taken (nS)
1,1691594600
2,1685810000
3,1702049200
4,1692323000
5,1692477500
6,1679380700
7,1689283900
8,1687897700
9,1688742000
10,1678762400
11,1707761400
12,1675181400
13,1708029300
14,1689162100
15,1689378200
16,1689284500
17,1679091200
18,1765846200
19,1679068600
20,1678345800
21,1685823300
22,1669999000
23,1677392000
24,1676904800
25,1669966900
26,1682447700
27,1674728600
28,1687662600
29,1684559900
30,1676970100
31,1674345100
32,1673870900
33,1664490000
34,1674189700
35,1679224200
36,1679555400
37,1682722300
38,1668413300
39,1677004600
40,1682454700
41,1672033500
42,1697474900
43,1690909000
44,1679200300
45,1683990400
46,1681279200
47,1681847000
48,1683367600
49,1687879800
50,1681396400
51,1681420300
52,1685338400
53,1680283200
54,1676004100
55,1688838000
56,1677274500
57,1672000100
58,1683363200
59,1673060900
60,1678500600
61,1681103300
62,1670529500
63,1686478600
64,1686270100
65,1679045400
66,1684328800
67,1676242800
68,1681890800
69,1688188800
70,1680431300
71,1687092900
72,1677070800
73,1676026800
74,1688661900
75,1676687300
76,1677271800
77,1679089500
78,1677633400
79,1681997100
80,1680971300
81,1687448200
82,1681416600
83,1665840800
84,1688855300
85,1674690500
86,1678257100
87,1679559100
88,1670371400
89,1678879700
90,1684159500
91,1680949400
92,1689038300
93,1682777000
94,1671334000
95,1686837100
96,1674059200
97,1682313800
98,1675513700
99,1676189200
100,1684373500
