Run, Time Taken (nS)
1,210166500
2,210350700
3,213430600
4,210998000
5,210597100
6,210089900
7,209834000
8,210057100
9,210609500
10,210807200
11,211078100
12,210639400
13,210350400
14,210858300
15,209619900
16,212005900
17,209805200
18,210350600
19,210152000
20,209191900
21,212274000
22,214057500
23,210342700
24,210663300
25,209716100
26,210717500
27,209295800
28,209778400
29,212088000
30,210106800
31,214052800
32,210882700
33,211546700
34,209466500
35,210180800
36,213564000
37,210049200
38,212031200
39,214040100
40,209582400
41,210158900
42,210177600
43,209962100
44,210892000
45,209540900
46,209592100
47,208972600
48,213094000
49,212240300
50,211834700
51,210634000
52,210514900
53,211063100
54,210165300
55,211772800
56,210911300
57,211298800
58,209060400
59,211058800
60,215662700
61,210769400
62,211065500
63,208914800
64,214615500
65,209423400
66,209925100
67,209494000
68,211466000
69,214237400
70,210236000
71,209817000
72,210160400
73,209567500
74,209686000
75,209813000
76,211213600
77,209970200
78,211126700
79,210107100
80,209840200
81,214402400
82,210823300
83,209468000
84,211880800
85,209900000
86,211296500
87,210805000
88,210235400
89,210236700
90,210221600
91,209665500
92,213237800
93,209761100
94,210042400
95,210068700
96,209833400
97,210693000
98,212142900
99,210715300
100,210368000
