Run, Time Taken (nS)
1,996800 nS
2,996900 nS
3,999400 nS
4,997300 nS
5,105500 nS
6,996800 nS
7,0 nS
8,0 nS
9,992700 nS
10,1524300 nS
11,0 nS
12,0 nS
13,994900 nS
14,996200 nS
15,996500 nS
16,990600 nS
17,110000 nS
18,996700 nS
19,996600 nS
20,997900 nS
21,996500 nS
22,996800 nS
23,999300 nS
24,0 nS
25,971900 nS
26,997600 nS
27,996400 nS
28,997200 nS
29,997500 nS
30,997100 nS
31,0 nS
32,997200 nS
33,997300 nS
34,995400 nS
35,0 nS
36,997200 nS
37,0 nS
38,996500 nS
39,997300 nS
40,997100 nS
41,997100 nS
42,0 nS
43,997800 nS
44,997000 nS
45,997700 nS
46,997700 nS
47,998400 nS
48,752500 nS
49,0 nS
50,996300 nS
51,1001000 nS
52,998400 nS
53,884300 nS
54,997100 nS
55,0 nS
56,996600 nS
57,1542700 nS
58,997600 nS
59,997000 nS
60,641300 nS
61,0 nS
62,0 nS
63,993500 nS
64,0 nS
65,998200 nS
66,998800 nS
67,997000 nS
68,997300 nS
69,997500 nS
70,1000200 nS
71,998000 nS
72,997800 nS
73,997200 nS
74,997900 nS
75,996900 nS
76,996300 nS
77,997900 nS
78,996900 nS
79,996900 nS
80,0 nS
81,885600 nS
82,996600 nS
83,992600 nS
84,997400 nS
85,996900 nS
86,998100 nS
87,997300 nS
88,997600 nS
89,996700 nS
90,997600 nS
91,997200 nS
92,997900 nS
93,0 nS
94,997500 nS
95,997200 nS
96,997300 nS
97,997300 nS
98,996000 nS
99,997100 nS
100,996800 nS
