Run, Time Taken (nS)
1,0 nS
2,829900 nS
3,997200 nS
4,509700 nS
5,0 nS
6,999500 nS
7,997600 nS
8,995800 nS
9,968900 nS
10,997200 nS
11,996800 nS
12,1002300 nS
13,995900 nS
14,996300 nS
15,1025900 nS
16,1020700 nS
17,1465500 nS
18,998700 nS
19,0 nS
20,996300 nS
21,997400 nS
22,996900 nS
23,996400 nS
24,996000 nS
25,999100 nS
26,997400 nS
27,996800 nS
28,992800 nS
29,997100 nS
30,1007200 nS
31,0 nS
32,996800 nS
33,996400 nS
34,2992500 nS
35,8976100 nS
36,0 nS
37,1119200 nS
38,997400 nS
39,997100 nS
40,996900 nS
41,996900 nS
42,997200 nS
43,0 nS
44,997200 nS
45,997400 nS
46,0 nS
47,991200 nS
48,0 nS
49,886500 nS
50,0 nS
51,996800 nS
52,0 nS
53,997400 nS
54,997300 nS
55,0 nS
56,510000 nS
57,995900 nS
58,997200 nS
59,998200 nS
60,998000 nS
61,996800 nS
62,0 nS
63,0 nS
64,996000 nS
65,0 nS
66,994000 nS
67,996700 nS
68,998600 nS
69,997600 nS
70,0 nS
71,997300 nS
72,996600 nS
73,0 nS
74,0 nS
75,997500 nS
76,0 nS
77,996300 nS
78,997100 nS
79,997200 nS
80,997700 nS
81,998100 nS
82,0 nS
83,0 nS
84,997200 nS
85,0 nS
86,991600 nS
87,0 nS
88,994900 nS
89,997400 nS
90,993100 nS
91,997600 nS
92,997200 nS
93,0 nS
94,0 nS
95,0 nS
96,997200 nS
97,0 nS
98,996600 nS
99,0 nS
100,0 nS
