Run, Time Taken (nS)
1,145088900 nS
2,120918500 nS
3,129670200 nS
4,135156800 nS
5,150220600 nS
6,145610400 nS
7,135199100 nS
8,129193700 nS
9,121678300 nS
10,169880400 nS
11,132654700 nS
12,120004600 nS
13,123668200 nS
14,111701200 nS
15,131003200 nS
16,120677600 nS
17,135752100 nS
18,144377000 nS
19,120452200 nS
20,131647300 nS
21,119186800 nS
22,149389000 nS
23,122512400 nS
24,116687400 nS
25,120780900 nS
26,126639900 nS
27,120907300 nS
28,131626000 nS
29,119679800 nS
30,108813200 nS
31,103455100 nS
32,102536900 nS
33,108520900 nS
34,122223900 nS
35,128649700 nS
36,111705300 nS
37,119910400 nS
38,157727900 nS
39,125172900 nS
40,209946300 nS
41,169012500 nS
42,125659100 nS
43,170476200 nS
44,158353600 nS
45,195973600 nS
46,190101800 nS
47,157124100 nS
48,175441400 nS
49,144771400 nS
50,171601700 nS
51,125311900 nS
52,127021600 nS
53,133130200 nS
54,120915500 nS
55,143628100 nS
56,134380000 nS
57,133561700 nS
58,131646900 nS
59,113204400 nS
60,114211500 nS
61,121687800 nS
62,165064100 nS
63,148547600 nS
64,123820700 nS
65,112383400 nS
66,109018700 nS
67,120424700 nS
68,124702700 nS
69,116730800 nS
70,142270000 nS
71,140133100 nS
72,139476300 nS
73,158035600 nS
74,134128900 nS
75,143648000 nS
76,145343100 nS
77,143443200 nS
78,123214500 nS
79,143869200 nS
80,139773600 nS
81,135970800 nS
82,134162100 nS
83,133168200 nS
84,114255900 nS
85,145603900 nS
86,129686400 nS
87,124462000 nS
88,125779000 nS
89,138786600 nS
90,143880600 nS
91,158749500 nS
92,140047000 nS
93,143507200 nS
94,136890200 nS
95,143618200 nS
96,108342500 nS
97,125537400 nS
98,115982200 nS
99,106222800 nS
100,119469300 nS
