Run, Time Taken (nS)
1,12483546500 nS
2,14705516400 nS
3,13087426600 nS
4,12203483400 nS
5,11808427900 nS
6,12352847600 nS
7,13293043300 nS
8,11943877000 nS
9,11054333300 nS
10,11218030300 nS
11,11001375900 nS
12,11219253900 nS
13,11065303900 nS
14,11105446000 nS
15,10975715400 nS
16,11084031000 nS
17,11138870100 nS
18,11184311500 nS
19,11273889400 nS
20,11242201100 nS
21,11114987400 nS
22,11403865200 nS
23,11143851700 nS
24,11233491600 nS
25,11339614400 nS
26,11431123000 nS
27,11159218600 nS
28,11591692300 nS
29,12415397500 nS
30,11093136900 nS
31,11299469300 nS
32,11106752500 nS
33,12774548600 nS
34,12474489000 nS
35,12972140900 nS
36,11570044000 nS
37,12148805600 nS
38,11176143500 nS
39,11149988900 nS
40,11870042000 nS
41,11244450800 nS
42,12524277200 nS
43,11897445800 nS
44,13086822500 nS
45,11820522200 nS
46,11039033700 nS
47,10846913500 nS
48,10892415100 nS
49,10988046900 nS
50,12197269100 nS
51,11874562000 nS
52,11192872300 nS
53,11059407600 nS
54,12025336400 nS
55,12327652700 nS
56,11197879800 nS
57,11822689900 nS
58,11038306600 nS
59,11530112200 nS
60,10995478000 nS
61,11004970500 nS
62,11055098000 nS
63,10977345600 nS
64,11116419100 nS
65,11195663100 nS
66,12219659200 nS
67,11778038000 nS
68,11274507900 nS
69,11825015000 nS
70,11427554000 nS
71,11331079800 nS
72,11163494800 nS
73,11313398900 nS
74,11113687900 nS
75,10955386500 nS
76,11131012300 nS
77,11112147100 nS
78,11069798700 nS
79,11155214000 nS
80,11170741700 nS
81,11493207700 nS
82,13391129600 nS
83,12128361900 nS
84,11407792500 nS
85,11984181900 nS
86,11084772800 nS
87,11074092600 nS
88,11232441100 nS
89,11281577300 nS
90,11333144900 nS
91,11083609000 nS
92,10871734400 nS
93,11085983200 nS
94,11116192300 nS
95,10970419000 nS
96,10884288600 nS
97,11574683000 nS
98,12110892500 nS
99,12044586800 nS
100,11698178200 nS
