Run, Time Taken (nS)
1,1394454800 nS
2,1366679400 nS
3,1321212500 nS
4,1377518200 nS
5,1312634100 nS
6,1599949600 nS
7,1275336800 nS
8,1314162200 nS
9,1344452900 nS
10,1285483000 nS
11,1305161400 nS
12,1314155300 nS
13,1314184300 nS
14,1273605900 nS
15,1290487200 nS
16,1355547200 nS
17,1386251400 nS
18,1375067200 nS
19,1512823900 nS
20,1238288400 nS
21,1294601900 nS
22,1372796800 nS
23,1269859800 nS
24,1399749000 nS
25,1321969500 nS
26,1345691100 nS
27,1421283500 nS
28,1283405300 nS
29,1831971600 nS
30,1435009100 nS
31,1779603200 nS
32,1670307200 nS
33,1915167500 nS
34,1746994500 nS
35,1561783100 nS
36,1481387300 nS
37,1707843900 nS
38,1855837400 nS
39,1593720400 nS
40,1420163800 nS
41,1483093700 nS
42,1461731500 nS
43,1438587000 nS
44,1386758300 nS
45,1287011000 nS
46,1402780800 nS
47,1402920900 nS
48,1451846900 nS
49,1518127200 nS
50,1326800800 nS
51,1474850900 nS
52,1404655600 nS
53,1404422700 nS
54,1486749900 nS
55,1414821500 nS
56,1430523600 nS
57,1472324900 nS
58,1360523900 nS
59,1479194300 nS
60,1431273800 nS
61,1437635200 nS
62,1374502700 nS
63,1389373500 nS
64,1375910900 nS
65,1490997100 nS
66,1355811600 nS
67,1380947900 nS
68,1442445900 nS
69,1380562500 nS
70,1382754500 nS
71,1297529500 nS
72,1455797000 nS
73,1372876300 nS
74,1395414600 nS
75,1469473000 nS
76,1374321200 nS
77,1507572900 nS
78,1455216700 nS
79,1372577300 nS
80,1253306700 nS
81,1261157800 nS
82,1253898300 nS
83,1251100700 nS
84,1220488900 nS
85,1303572000 nS
86,1207160000 nS
87,1282439800 nS
88,1255490600 nS
89,1183847600 nS
90,1285573800 nS
91,1198535300 nS
92,1249547900 nS
93,1389970900 nS
94,1294889500 nS
95,1264178900 nS
96,1244314000 nS
97,1202993600 nS
98,1272492600 nS
99,1166147800 nS
100,1243368800 nS
