Run, Time Taken (nS)
1,0 nS
2,0 nS
3,0 nS
4,996800 nS
5,996700 nS
6,0 nS
7,997000 nS
8,0 nS
9,997300 nS
10,997400 nS
11,0 nS
12,997400 nS
13,997400 nS
14,997100 nS
15,997100 nS
16,997600 nS
17,997200 nS
18,981400 nS
19,0 nS
20,998100 nS
21,996000 nS
22,0 nS
23,997400 nS
24,997200 nS
25,0 nS
26,997000 nS
27,999100 nS
28,997000 nS
29,996700 nS
30,0 nS
31,0 nS
32,996800 nS
33,997100 nS
34,0 nS
35,997700 nS
36,998200 nS
37,0 nS
38,997300 nS
39,0 nS
40,0 nS
41,997000 nS
42,0 nS
43,0 nS
44,996900 nS
45,0 nS
46,0 nS
47,996300 nS
48,0 nS
49,998300 nS
50,996800 nS
51,997500 nS
52,0 nS
53,998100 nS
54,997400 nS
55,0 nS
56,0 nS
57,996300 nS
58,1008900 nS
59,0 nS
60,997600 nS
61,0 nS
62,997300 nS
63,997500 nS
64,0 nS
65,0 nS
66,996800 nS
67,0 nS
68,997100 nS
69,997300 nS
70,0 nS
71,893300 nS
72,997600 nS
73,997500 nS
74,996500 nS
75,998300 nS
76,996900 nS
77,998100 nS
78,997400 nS
79,997100 nS
80,998000 nS
81,0 nS
82,0 nS
83,997200 nS
84,997000 nS
85,996500 nS
86,997700 nS
87,997000 nS
88,997700 nS
89,995800 nS
90,997400 nS
91,996300 nS
92,997500 nS
93,998200 nS
94,997300 nS
95,0 nS
96,0 nS
97,0 nS
98,992800 nS
99,0 nS
100,996600 nS
