Run, Time Taken (nS)
1,1488299700 nS
2,1486065500 nS
3,1838820300 nS
4,1900907000 nS
5,1703570400 nS
6,1974176400 nS
7,1297037000 nS
8,1365346300 nS
9,1318491500 nS
10,1345431500 nS
11,1331437600 nS
12,1281574900 nS
13,1445134200 nS
14,1296036800 nS
15,1306518700 nS
16,1474057700 nS
17,1496565800 nS
18,1412790100 nS
19,1305817900 nS
20,1784362800 nS
21,1574449600 nS
22,1529100900 nS
23,1536729400 nS
24,1359901800 nS
25,1549005100 nS
26,1307518100 nS
27,1332468600 nS
28,1318487100 nS
29,1326989100 nS
30,1450133600 nS
31,1356369200 nS
32,1472075200 nS
33,1247685500 nS
34,1330982700 nS
35,1231186700 nS
36,1227791400 nS
37,1295576100 nS
38,1208739800 nS
39,1279571900 nS
40,1239228600 nS
41,1214771300 nS
42,1301549600 nS
43,1210284400 nS
44,1276584700 nS
45,1272593200 nS
46,1258652600 nS
47,1236691000 nS
48,1261164500 nS
49,1299558500 nS
50,1235675800 nS
51,1304551600 nS
52,1239703100 nS
53,1249655500 nS
54,1247696200 nS
55,1259629100 nS
56,1238193500 nS
57,1233680100 nS
58,1290612900 nS
59,1203286800 nS
60,1281546700 nS
61,1266703500 nS
62,1311532200 nS
63,1362386500 nS
64,1232702100 nS
65,1280573200 nS
66,1255639900 nS
67,1284089400 nS
68,1301506100 nS
69,1288552500 nS
70,1290566200 nS
71,1206785000 nS
72,1255137700 nS
73,1268148600 nS
74,1242657500 nS
75,1260599600 nS
76,1218296000 nS
77,1271664300 nS
78,1240659800 nS
79,1274194100 nS
80,1225720800 nS
81,1285691400 nS
82,1241667000 nS
83,1225969100 nS
84,1305500300 nS
85,1224801400 nS
86,1248700100 nS
87,1234206800 nS
88,1270582300 nS
89,1317493100 nS
90,1233338100 nS
91,1305573100 nS
92,1251669000 nS
93,1300538300 nS
94,1235175200 nS
95,1260645800 nS
96,1336464900 nS
97,1238661100 nS
98,1264636800 nS
99,1238686100 nS
100,1270572900 nS
