Run, Time Taken (nS)
1,998600 nS
2,997900 nS
3,888600 nS
4,972800 nS
5,997300 nS
6,996800 nS
7,997100 nS
8,1013400 nS
9,998800 nS
10,997900 nS
11,1115700 nS
12,998200 nS
13,997300 nS
14,973300 nS
15,0 nS
16,998800 nS
17,997300 nS
18,995400 nS
19,996100 nS
20,0 nS
21,995500 nS
22,995700 nS
23,998800 nS
24,0 nS
25,994800 nS
26,997700 nS
27,997200 nS
28,997300 nS
29,996700 nS
30,998100 nS
31,0 nS
32,997700 nS
33,997500 nS
34,996800 nS
35,997900 nS
36,996500 nS
37,997000 nS
38,0 nS
39,996600 nS
40,997600 nS
41,996600 nS
42,880000 nS
43,996900 nS
44,997700 nS
45,0 nS
46,0 nS
47,996800 nS
48,996600 nS
49,0 nS
50,997400 nS
51,0 nS
52,0 nS
53,0 nS
54,996000 nS
55,998300 nS
56,0 nS
57,997000 nS
58,1111200 nS
59,997300 nS
60,996200 nS
61,0 nS
62,996900 nS
63,1000400 nS
64,999400 nS
65,997700 nS
66,1120900 nS
67,3989400 nS
68,996400 nS
69,0 nS
70,996900 nS
71,997400 nS
72,0 nS
73,995100 nS
74,0 nS
75,996100 nS
76,0 nS
77,996000 nS
78,0 nS
79,0 nS
80,997400 nS
81,0 nS
82,998300 nS
83,0 nS
84,997900 nS
85,997100 nS
86,0 nS
87,995400 nS
88,997900 nS
89,994900 nS
90,997100 nS
91,996900 nS
92,997400 nS
93,996300 nS
94,996700 nS
95,0 nS
96,998700 nS
97,0 nS
98,995600 nS
99,997400 nS
100,996200 nS
