Run, Time Taken (nS)
1,0 nS
2,0 nS
3,0 nS
4,997700 nS
5,0 nS
6,0 nS
7,0 nS
8,995900 nS
9,0 nS
10,0 nS
11,996700 nS
12,0 nS
13,997300 nS
14,972800 nS
15,0 nS
16,0 nS
17,0 nS
18,997100 nS
19,0 nS
20,0 nS
21,0 nS
22,1121800 nS
23,0 nS
24,0 nS
25,0 nS
26,997000 nS
27,0 nS
28,997200 nS
29,996700 nS
30,999100 nS
31,998300 nS
32,998900 nS
33,997500 nS
34,0 nS
35,0 nS
36,0 nS
37,995700 nS
38,997600 nS
39,996700 nS
40,997000 nS
41,996700 nS
42,0 nS
43,997100 nS
44,998400 nS
45,995300 nS
46,0 nS
47,0 nS
48,0 nS
49,997300 nS
50,0 nS
51,997700 nS
52,999000 nS
53,996500 nS
54,998000 nS
55,996500 nS
56,0 nS
57,0 nS
58,998100 nS
59,995300 nS
60,997900 nS
61,1001100 nS
62,997400 nS
63,994800 nS
64,0 nS
65,0 nS
66,998100 nS
67,996700 nS
68,997600 nS
69,0 nS
70,0 nS
71,0 nS
72,0 nS
73,0 nS
74,998800 nS
75,1005300 nS
76,997700 nS
77,556000 nS
78,997100 nS
79,997300 nS
80,0 nS
81,997200 nS
82,996000 nS
83,997200 nS
84,998600 nS
85,0 nS
86,998400 nS
87,996200 nS
88,0 nS
89,0 nS
90,0 nS
91,996900 nS
92,996000 nS
93,997000 nS
94,1116700 nS
95,0 nS
96,998700 nS
97,996600 nS
98,872700 nS
99,0 nS
100,0 nS
