Run, Time Taken (nS)
1,997500 nS
2,997400 nS
3,0 nS
4,997500 nS
5,0 nS
6,996900 nS
7,996500 nS
8,998200 nS
9,0 nS
10,0 nS
11,997300 nS
12,0 nS
13,0 nS
14,996800 nS
15,997100 nS
16,0 nS
17,0 nS
18,997400 nS
19,0 nS
20,0 nS
21,997500 nS
22,894500 nS
23,998600 nS
24,998600 nS
25,997500 nS
26,0 nS
27,996700 nS
28,997600 nS
29,997600 nS
30,996800 nS
31,998000 nS
32,996900 nS
33,0 nS
34,997700 nS
35,998100 nS
36,997200 nS
37,0 nS
38,997800 nS
39,995500 nS
40,996000 nS
41,0 nS
42,996200 nS
43,996000 nS
44,996700 nS
45,997700 nS
46,997100 nS
47,0 nS
48,997400 nS
49,997500 nS
50,998500 nS
51,996700 nS
52,997700 nS
53,997400 nS
54,1015700 nS
55,0 nS
56,997100 nS
57,312900 nS
58,998000 nS
59,997700 nS
60,997300 nS
61,997300 nS
62,1285300 nS
63,701300 nS
64,0 nS
65,0 nS
66,0 nS
67,0 nS
68,996400 nS
69,997800 nS
70,997700 nS
71,998300 nS
72,997400 nS
73,997100 nS
74,997600 nS
75,3989800 nS
76,997500 nS
77,997300 nS
78,997800 nS
79,996900 nS
80,996700 nS
81,997400 nS
82,997000 nS
83,0 nS
84,1026100 nS
85,998100 nS
86,1022100 nS
87,0 nS
88,997400 nS
89,997700 nS
90,0 nS
91,997700 nS
92,997600 nS
93,999200 nS
94,997100 nS
95,997800 nS
96,997600 nS
97,997100 nS
98,0 nS
99,0 nS
100,0 nS
