Run, Time Taken (nS)
1,1674980300 nS
2,1435709800 nS
3,1383298600 nS
4,1437155100 nS
5,1488527300 nS
6,1477008300 nS
7,1438692000 nS
8,1397755700 nS
9,1415211600 nS
10,1538957200 nS
11,1752609000 nS
12,1640788200 nS
13,1883563800 nS
14,1444659100 nS
15,1551898000 nS
16,1458605600 nS
17,2105647600 nS
18,1786804500 nS
19,1528922600 nS
20,1437798300 nS
21,1464925800 nS
22,1398211600 nS
23,1427373800 nS
24,1375673400 nS
25,1529755900 nS
26,1445543200 nS
27,1444729700 nS
28,1398697600 nS
29,1439744800 nS
30,1399670800 nS
31,1441816800 nS
32,1397821100 nS
33,1457804700 nS
34,1370520300 nS
35,1432419400 nS
36,1372598200 nS
37,1488889900 nS
38,1414803700 nS
39,1414988800 nS
40,1425010800 nS
41,1437727500 nS
42,1408341100 nS
43,1366013700 nS
44,1442381000 nS
45,1476195200 nS
46,1554153700 nS
47,1361832400 nS
48,1512169000 nS
49,1316836800 nS
50,1386992900 nS
51,1303487600 nS
52,1365591400 nS
53,1280876000 nS
54,1357443800 nS
55,1290722400 nS
56,1334310300 nS
57,1311330700 nS
58,1313379600 nS
59,1361453400 nS
60,1321382000 nS
61,1295889100 nS
62,1306845700 nS
63,1343144000 nS
64,1266977400 nS
65,1356735600 nS
66,1326467900 nS
67,1361017800 nS
68,1303221100 nS
69,1381525800 nS
70,1277957900 nS
71,1337684600 nS
72,1344348900 nS
73,1296477200 nS
74,1340081400 nS
75,1338701800 nS
76,1323128100 nS
77,1318740500 nS
78,1299443600 nS
79,1274177600 nS
80,1359534400 nS
81,1331579400 nS
82,1406547700 nS
83,1315809400 nS
84,1351731500 nS
85,1297543600 nS
86,1348317100 nS
87,1304845800 nS
88,1331289100 nS
89,1345167400 nS
90,1321801100 nS
91,1317632000 nS
92,1338026900 nS
93,1309770100 nS
94,1292262000 nS
95,1367746400 nS
96,1321124200 nS
97,1337680600 nS
98,1291578300 nS
99,1373653700 nS
100,1290491700 nS
