Run, Time Taken (nS)
1,138629300 nS
2,124665300 nS
3,113695700 nS
4,125664500 nS
5,157578600 nS
6,191487600 nS
7,139625900 nS
8,139626100 nS
9,132645000 nS
10,169824300 nS
11,137723300 nS
12,140557400 nS
13,147911700 nS
14,155583400 nS
15,128655800 nS
16,150597600 nS
17,130651000 nS
18,136634500 nS
19,149601100 nS
20,142603600 nS
21,170254500 nS
22,187442500 nS
23,140542900 nS
24,202320500 nS
25,212470200 nS
26,166115600 nS
27,145625400 nS
28,189001100 nS
29,146114700 nS
30,127167100 nS
31,127658100 nS
32,126660600 nS
33,131648100 nS
34,160570100 nS
35,128657100 nS
36,125663000 nS
37,126660500 nS
38,152338600 nS
39,148603300 nS
40,151594200 nS
41,128655800 nS
42,121674700 nS
43,120656300 nS
44,124678800 nS
45,131474700 nS
46,160081700 nS
47,168145500 nS
48,152098500 nS
49,152100200 nS
50,130649800 nS
51,144611400 nS
52,132152400 nS
53,153588300 nS
54,162569100 nS
55,143614000 nS
56,131647500 nS
57,126660800 nS
58,117684700 nS
59,120676500 nS
60,131647100 nS
61,117685200 nS
62,119680400 nS
63,123669300 nS
64,158950500 nS
65,150947300 nS
66,143149000 nS
67,136634200 nS
68,141621000 nS
69,132645100 nS
70,123648000 nS
71,124665900 nS
72,124666000 nS
73,123669700 nS
74,128654100 nS
75,126660000 nS
76,122669800 nS
77,127658200 nS
78,120676800 nS
79,117685200 nS
80,117684800 nS
81,120676800 nS
82,123668300 nS
83,128655800 nS
84,133642200 nS
85,133643500 nS
86,123668900 nS
87,140623200 nS
88,126661600 nS
89,124666300 nS
90,119679700 nS
91,133642200 nS
92,152592100 nS
93,131647500 nS
94,127658600 nS
95,131647300 nS
96,124666300 nS
97,120676500 nS
98,116687600 nS
99,123667900 nS
100,120184500 nS
