Run, Time Taken (nS)
1,1600850900 nS
2,1351433600 nS
3,1303512200 nS
4,1353412200 nS
5,1317471500 nS
6,1405254300 nS
7,1332956200 nS
8,1362408200 nS
9,1319161700 nS
10,1318978200 nS
11,1332472000 nS
12,1309007400 nS
13,1370349600 nS
14,1327481800 nS
15,1376316500 nS
16,1337446400 nS
17,1471063500 nS
18,1334432900 nS
19,1360341500 nS
20,1431144200 nS
21,1310182900 nS
22,1381304500 nS
23,1296038100 nS
24,1374337100 nS
25,1306009100 nS
26,1392305200 nS
27,1296530900 nS
28,1354687000 nS
29,1349389500 nS
30,1294536600 nS
31,1377317700 nS
32,1305192700 nS
33,1405240200 nS
34,1286234400 nS
35,1348424900 nS
36,1337945500 nS
37,1307533800 nS
38,1460111500 nS
39,1437188600 nS
40,1341443200 nS
41,1195783600 nS
42,1357368400 nS
43,1253912100 nS
44,1316982500 nS
45,1403863400 nS
46,1369475500 nS
47,1304028500 nS
48,1264826200 nS
49,1315929800 nS
50,1343121500 nS
51,1330898800 nS
52,1211287500 nS
53,1266591800 nS
54,1245221500 nS
55,1235669500 nS
56,1279626600 nS
57,1224213000 nS
58,1351432700 nS
59,1218666900 nS
60,1272308600 nS
61,1229692800 nS
62,1252663800 nS
63,1257142100 nS
64,1234210400 nS
65,1292572800 nS
66,1243206700 nS
67,1294021700 nS
68,1224740500 nS
69,1263594400 nS
70,1296614200 nS
71,1245172300 nS
72,1280421700 nS
73,1259652200 nS
74,1268142100 nS
75,1231722900 nS
76,1281546300 nS
77,1258207200 nS
78,1259630000 nS
79,1254624100 nS
80,1235273100 nS
81,1276626800 nS
82,1234237700 nS
83,1281128100 nS
84,1241185800 nS
85,1301803500 nS
86,1242204900 nS
87,1343906500 nS
88,1282543800 nS
89,1267604800 nS
90,1261642300 nS
91,1224304700 nS
92,1334421000 nS
93,1260158200 nS
94,1283636900 nS
95,1269577500 nS
96,1264981900 nS
97,1249655900 nS
98,1241193900 nS
99,1252639200 nS
100,1235045700 nS
