Run, Time Taken (nS)
1,998800 nS
2,997600 nS
3,0 nS
4,997400 nS
5,997500 nS
6,0 nS
7,0 nS
8,0 nS
9,0 nS
10,0 nS
11,997400 nS
12,1020300 nS
13,997200 nS
14,997600 nS
15,997000 nS
16,996900 nS
17,1113700 nS
18,997400 nS
19,996900 nS
20,997300 nS
21,895500 nS
22,997700 nS
23,0 nS
24,0 nS
25,997400 nS
26,996500 nS
27,0 nS
28,997800 nS
29,998100 nS
30,996900 nS
31,0 nS
32,0 nS
33,996900 nS
34,997700 nS
35,0 nS
36,997200 nS
37,0 nS
38,996800 nS
39,997500 nS
40,998300 nS
41,997500 nS
42,997300 nS
43,997700 nS
44,997100 nS
45,997500 nS
46,0 nS
47,0 nS
48,997400 nS
49,998800 nS
50,997300 nS
51,998500 nS
52,0 nS
53,0 nS
54,0 nS
55,997300 nS
56,996900 nS
57,997500 nS
58,998300 nS
59,0 nS
60,898100 nS
61,998000 nS
62,997200 nS
63,0 nS
64,997500 nS
65,997200 nS
66,0 nS
67,996500 nS
68,998500 nS
69,998500 nS
70,997400 nS
71,888300 nS
72,996600 nS
73,997200 nS
74,0 nS
75,996800 nS
76,997500 nS
77,997200 nS
78,997200 nS
79,0 nS
80,996700 nS
81,997100 nS
82,996100 nS
83,998600 nS
84,996600 nS
85,0 nS
86,997000 nS
87,997400 nS
88,0 nS
89,997400 nS
90,998300 nS
91,997500 nS
92,997300 nS
93,897600 nS
94,996000 nS
95,996400 nS
96,0 nS
97,997600 nS
98,0 nS
99,996900 nS
100,997200 nS
