Run, Time Taken (nS)
1,0 nS
2,0 nS
3,996100 nS
4,5984100 nS
5,997600 nS
6,997700 nS
7,997800 nS
8,0 nS
9,997200 nS
10,997000 nS
11,0 nS
12,0 nS
13,0 nS
14,998400 nS
15,0 nS
16,1104900 nS
17,996600 nS
18,0 nS
19,0 nS
20,896000 nS
21,998800 nS
22,997800 nS
23,996900 nS
24,996800 nS
25,997300 nS
26,996400 nS
27,0 nS
28,998500 nS
29,0 nS
30,996600 nS
31,997100 nS
32,994000 nS
33,0 nS
34,0 nS
35,0 nS
36,0 nS
37,0 nS
38,997200 nS
39,0 nS
40,997500 nS
41,996600 nS
42,997000 nS
43,997000 nS
44,997200 nS
45,997400 nS
46,996900 nS
47,997000 nS
48,997000 nS
49,997400 nS
50,995200 nS
51,997300 nS
52,999100 nS
53,997000 nS
54,997400 nS
55,998300 nS
56,995000 nS
57,0 nS
58,996400 nS
59,0 nS
60,997600 nS
61,998100 nS
62,996200 nS
63,848400 nS
64,0 nS
65,998300 nS
66,0 nS
67,997400 nS
68,0 nS
69,0 nS
70,0 nS
71,999100 nS
72,998500 nS
73,997100 nS
74,998800 nS
75,0 nS
76,0 nS
77,0 nS
78,995800 nS
79,996800 nS
80,998200 nS
81,995700 nS
82,996900 nS
83,997900 nS
84,997300 nS
85,0 nS
86,997400 nS
87,998800 nS
88,868200 nS
89,997900 nS
90,996000 nS
91,996900 nS
92,997500 nS
93,997400 nS
94,0 nS
95,0 nS
96,995800 nS
97,997200 nS
98,997800 nS
99,998100 nS
100,0 nS
