Run, Time Taken (nS)
1,135654300 nS
2,116786500 nS
3,114693400 nS
4,112699100 nS
5,119680800 nS
6,159572700 nS
7,146608900 nS
8,134639300 nS
9,150597400 nS
10,114693500 nS
11,109707500 nS
12,111700100 nS
13,127659100 nS
14,117683800 nS
15,111700600 nS
16,115689800 nS
17,112697700 nS
18,111701200 nS
19,109705600 nS
20,113695800 nS
21,110703500 nS
22,110702700 nS
23,107698800 nS
24,113696300 nS
25,145241400 nS
26,132646300 nS
27,130650600 nS
28,136633300 nS
29,118682500 nS
30,134639700 nS
31,111701600 nS
32,111702300 nS
33,111701100 nS
34,111701300 nS
35,112698700 nS
36,110703500 nS
37,112698600 nS
38,114692900 nS
39,112699200 nS
40,116687000 nS
41,114692600 nS
42,115690000 nS
43,114692400 nS
44,118682600 nS
45,133642300 nS
46,119694600 nS
47,119680900 nS
48,123668300 nS
49,125663000 nS
50,136142700 nS
51,126660500 nS
52,116687500 nS
53,127657800 nS
54,148602900 nS
55,120677000 nS
56,115690400 nS
57,121674200 nS
58,113589900 nS
59,114853200 nS
60,115776500 nS
61,125665000 nS
62,113695600 nS
63,124666600 nS
64,142617300 nS
65,136633400 nS
66,125662600 nS
67,115690700 nS
68,137630600 nS
69,131647900 nS
70,116688300 nS
71,112669300 nS
72,112698700 nS
73,118683300 nS
74,118682700 nS
75,108709400 nS
76,122671600 nS
77,120677100 nS
78,114692500 nS
79,111701200 nS
80,122671100 nS
81,119679000 nS
82,121674600 nS
83,120677400 nS
84,124665600 nS
85,119678900 nS
86,113696400 nS
87,130650000 nS
88,132645200 nS
89,110703500 nS
90,155583700 nS
91,124664400 nS
92,114694300 nS
93,111701700 nS
94,115689600 nS
95,109706000 nS
96,148602900 nS
97,110703300 nS
98,108708300 nS
99,111701300 nS
100,112698700 nS
