Run, Time Taken (nS)
1,1691879300 nS
2,1632333800 nS
3,1498509600 nS
4,1661429800 nS
5,1691035900 nS
6,1749744200 nS
7,1581868000 nS
8,1580284900 nS
9,1593273800 nS
10,1526298800 nS
11,1619725700 nS
12,1539475400 nS
13,1528415800 nS
14,1653782500 nS
15,1549853900 nS
16,1589411300 nS
17,1535865900 nS
18,1715974300 nS
19,1574274600 nS
20,1624805700 nS
21,1555405400 nS
22,1626503400 nS
23,1604954600 nS
24,1558869800 nS
25,1639638900 nS
26,1509422100 nS
27,1580438200 nS
28,1645794500 nS
29,1651088800 nS
30,1665816200 nS
31,1488582700 nS
32,1457462000 nS
33,1448968000 nS
34,1462603300 nS
35,1428202500 nS
36,1535564400 nS
37,1453684700 nS
38,1465589800 nS
39,1457105500 nS
40,1477130100 nS
41,1419991500 nS
42,1527893700 nS
43,1483526100 nS
44,1486077400 nS
45,1418689400 nS
46,1492054100 nS
47,1454700100 nS
48,1510563900 nS
49,1544411800 nS
50,1444012500 nS
51,1471093300 nS
52,1476953100 nS
53,1499332200 nS
54,1468101900 nS
55,1492009300 nS
56,1502850700 nS
57,1586754300 nS
58,1553016000 nS
59,1542943200 nS
60,1636460200 nS
61,1519815400 nS
62,1611201000 nS
63,1616684700 nS
64,1478571900 nS
65,1543910600 nS
66,1422213600 nS
67,1549898000 nS
68,1417014000 nS
69,1513980000 nS
70,1502455900 nS
71,1554956300 nS
72,1400376400 nS
73,1489988400 nS
74,1362801000 nS
75,1523457700 nS
76,1371469700 nS
77,1466057400 nS
78,1469118100 nS
79,1444762500 nS
80,1500539800 nS
81,1484024700 nS
82,1540520600 nS
83,1395816000 nS
84,1450835800 nS
85,1431172700 nS
86,1546889300 nS
87,1418744800 nS
88,1444608800 nS
89,1458128400 nS
90,1446129500 nS
91,1443553000 nS
92,1479087700 nS
93,1423758100 nS
94,1421743900 nS
95,1401106600 nS
96,1474404400 nS
97,1435184800 nS
98,1435156400 nS
99,1477053600 nS
100,1475433600 nS
